composite ID,source,source title,fiber type,fiber 1,fiber 1 %weight,rounded fiber volume,fiber 1 %volume,aspect ratio,min fiber 1 length (mm),max fiber 1 length (mm),min fiber 1 diameter (um),max fiber 1 diameter (um),fiber 2,fiber 2 %weight,fiber 2 %volume,min fiber 2 length (mm),max fiber 2 length (mm),fiber 2 diameter (um),fiber 3,fiber 3 %weight,fiber 3 %volume,min fiber 3 length (mm),max fiber 3 length (mm),fiber 3 diameter (um),binder type,binder 1,binder 1 %weight,binder 2,binder 2 % weight,water %weight,w/b,additive 1,additive 1 %weight,additive 2,additive 2 %weight,additive 3,additive 3 %weight,additive 4,additive 4 %weight,aggregate,aggregate %weight,min fresh density (g/cm3),max fresh density (g/cm3),min hardened mix density (g/cm3),max hardened mix density (g/cm3),printed (y/n),printable? (y/undetermined),printer type2,nozzle opening diameter (mm),layer interval (s),print speed (mm/s),flow rate (L/min),bending sample length (mm),bending sample width (mm),bending sample depth (mm),Min II Compression (MPa),Max II Compression (MPa),Avg. II Compression (MPa),Min III Compression (MPa),Max III Compression (MPa),Avg. III Compression (MPa),Min --| Compression (MPa),Max --| Compression (MPa),Avg. --| Compression (MPa),Compression Test Standard Used,Min II Tensile (MPa),Max II Tensile (MPa),Avg. II Tensile (MPa),Min III Tensile (MPa),Max III Tensile (MPa),Avg. III Tensile (MPa) ,Min --| Tensile (MPa),Max --| Tensile (MPa),Avg. --| Tensile (Mpa),Tensile Test Standard Used,Min II Bending (MPa),Max II Bending (MPa),Avg. II Bending (MPa),Min III Bending (MPa),Max III Bending (MPa),Avg. III Bending (MPa),Min --| Bending (MPa),Max --| Bending (MPa),Avg. --| Bending (MPa),Min --|| Bending (MPa),Max --|| Bending (MPa),Avg. --|| Bending (MPa),Bending Test Standard Used,Min Interlayer Bond Strength (MPa),Max Interlayer Bond Strength (MPa),Avg. Interlayer Bond Strength (MPa),Interlayer Bond Strength Test Standard Used,Min II MOEc (GPa),Max II MOEc (GPa),Avg. II MOEc (GPa),Min III MOEc (GPa),Max III MOEc (GPa),Avg. III MOEc (GPa),Min --| MOEc (GPa),Max --| MOEc (GPa),Avg. --| MOEc (GPa),MOEc Test Standard Used,Min II MOEf (GPa),Max II MOEf (GPa),Avg. II MOEf (GPa),Min III MOEf (GPa),Max III MOEf (GPa),Avg. III MOEf (GPa),Min --| MOEf (GPa),Max --| MOEf (GPa),Avg. --| MOEf (GPa),Min --|| MOEf (GPa),Max --|| MOEf (GPa),Avg. --|| MOEf (GPa),MOEf Test Standard Used,Min II Thermal Conductivity (W/m-K),Max II Themeral Conductivity (W/m-K),Min III Thermal Conductivity (W/m-K),Max III Thermal Conductivity (W/m-K),Min --| Thermal Conductivity (W/m-K),Max --| Thermal Conductivity (W/m-K),Avg. --| Thermal Conductivity (W/m-C),Thermal Conductivity Test Standard Used,Min II U-Value (W/m2-K),Max II U-Value (W/m2-K),Min III U-Value (W/m2-K),Max III U-Value (W/m2-K),Min --| U-Value (W/m2-K),Max --| U-Value (W/m2-K),Avg --| U Value (W/m2-K),U-Value Test Standard Used,,,,,,,,,,,,,,,,,,,,,,,,,
PC-CBF A 1,https://doi.org/10.1016/j.cemconcomp.2017.02.001,Properties of 3D-printed fiber-reinforced Portland cement paste,synthetic,carbon fiber,2.44%,1.00%,1.00%,428.57,,3.00,,7.00,,,,,,,,,,,,,cement,type 1 portland cement,60.00%,silica fume,20.49%,14.63%,0.18,,,plasticizer,2.44%,retarder,0.29%,,,,,,,,2,y,y,DeltaWASP 20 x 40,2,,30,,,,,19.5,35.3,27.4,,,,50.8,70.4,60.6,,,,,,,,,,,,27.3,30.9,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-GF A 1,https://doi.org/10.1016/j.cemconcomp.2017.02.001,Properties of 3D-printed fiber-reinforced Portland cement paste,synthetic,glass fiber,3.59%,1.00%,1.00%,300.00,,6.00,,20.00,,,,,,,,,,,,,cement,type 1 portland cement,59.29%,silica fume,20.25%,14.46%,0.18,,,plasticizer,2.41%,retarder,0.29%,,,,,,,,2,y,y,DeltaWASP 20 x 41,2,,30,,,,,13.8,27.4,20.6,,,,45.9,76.1,61,,,,,,,,,,,,11.6,13.2,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-BF A 1,https://doi.org/10.1016/j.cemconcomp.2017.02.001,Properties of 3D-printed fiber-reinforced Portland cement paste,natural,basalt fiber,3.57%,1.00%,1.00%,461.54,,6.00,,13.00,,,,,,,,,,,,,cement,type 1 portland cement,59.30%,silica fume,20.25%,14.46%,0.18,,,plasticizer,2.41%,retarder,0.29%,,,,,,,,2,y,y,DeltaWASP 20 x 42,2,,30,,,,,23,44.4,33.7,,,,47.3,78.7,63,,,,,,,,,,,,13.3,14.3,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-NF B 1,https://doi.org/10.1016/j.cemconcomp.2017.02.001,Properties of 3D-printed fiber-reinforced Portland cement paste,none,none,,0.00%,,,,,,,,,,,,,,,,,,,cement,type 1 portland cement,61.50%,silica fume,21.00%,15.00%,0.18,,,plasticizer,2.50%,retarder,0.30%,,,,,,,,2,y,y,DeltaWASP 20 x 43,2,,30,,,,,18.9,40.3,29.6,,,,71.1,91.1,81.1,,,,,,,,,,,,9.9,11.3,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-CBF A 2,https://doi.org/10.1016/j.cemconcomp.2017.02.001,Properties of 3D-printed fiber-reinforced Portland cement paste,synthetic,carbon fiber,2.44%,1.00%,1.00%,428.57,,3.00,,7.00,,,,,,,,,,,,,cement,type 1 portland cement,60.00%,silica fume,20.49%,14.63%,0.18,,,plasticizer,2.44%,retarder,0.29%,,,,,,,,,y,y,DeltaWASP 20 x 44,2,,30,,,,,16.7,44.9,30.8,,,,56.3,108.3,82.3,,,,,,,,,,,,13.4,14.4,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-GF A 2,https://doi.org/10.1016/j.cemconcomp.2017.02.001,Properties of 3D-printed fiber-reinforced Portland cement paste,synthetic,glass fiber,3.59%,1.00%,1.00%,300.00,,6.00,,20.00,,,,,,,,,,,,,cement,type 1 portland cement,59.29%,silica fume,20.25%,14.46%,0.18,,,plasticizer,2.41%,retarder,0.29%,,,,,,,,,y,y,DeltaWASP 20 x 45,2,,30,,,,,20.2,36,28.1,,,,62,107,84.5,,,,,,,,,,,,9.6,11,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-BF A 2,https://doi.org/10.1016/j.cemconcomp.2017.02.001,Properties of 3D-printed fiber-reinforced Portland cement paste,natural,basalt fiber,3.57%,1.00%,1.00%,461.54,,6.00,,13.00,,,,,,,,,,,,,cement,type 1 portland cement,59.30%,silica fume,20.25%,14.46%,0.18,,,plasticizer,2.41%,retarder,0.29%,,,,,,,,,y,y,DeltaWASP 20 x 46,2,,30,,,,,22.9,54.3,38.6,,,,53.8,116.2,85,,,,,,,,,,,,9.6,10.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-NF B 2,https://doi.org/10.1016/j.cemconcomp.2017.02.001,Properties of 3D-printed fiber-reinforced Portland cement paste,none,none,,0.00%,,,,,,,,,,,,,,,,,,,cement,type 1 portland cement,61.50%,silica fume,21.00%,15.00%,0.18,,,plasticizer,2.50%,retarder,0.30%,,,,,,,,,y,y,DeltaWASP 20 x 47,2,,30,,,,,19.2,40.8,30,,,,48.6,107.2,77.9,,,,,,,,,,,,10.8,12,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-NF F 1,http://dx.doi.org/10.1016/j.cemconres.2016.08.011,Portland cement paste with aligned carbon fibers exhibiting exceptionally high flexural strength (> 100 MPa),none,none,,0.00%,,,,,,,,,,,,,,,,,,,cement,type 1 portland cement,61.50%,silica fume,21.00%,15.00%,0.18,,,plasticizer,2.50%,,,,,,,,,,,y,y,,2,,,,,,,,,,82.7,120.9,101.8,,,,,,,,,,,,,,,,,,,,,7.2,9.4,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PC-CBF B 1,http://dx.doi.org/10.1016/j.cemconres.2016.08.011,Portland cement paste with aligned carbon fibers exhibiting exceptionally high flexural strength (> 100 MPa),synthetic,carbon fiber,0.43%,1.00%,1.00%,150.00,,3.00,,20.00,,,,,,,,,,,,,cement,type 1 portland cement,61.24%,silica fume,20.91%,14.94%,0.18,,,plasticizer,2.49%,,,,,,,,,,,y,y,3mx3mx3m self-made,2,,,,,,,,,,65.9,108.9,87.4,,,,,,,,,,,,,,,,,,,,,17.8,22.8,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
